subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
7.0000 60.0000 1.0000 4.0000 1.0000 0.0000 2 -1.0000 0.0000 1.9790 14.0000 2.0000 -6.0000 6.0000 -2.0000 10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8613 3.3760 
7.0000 12.0000 1.0000 -4.0000 0.0000 2.2000 8 1.0000 0.0000 2.2850 6.0000 -2.0000 -14.0000 2.0000 -10.0000 -6.0000 0.2518 0.3132 0.1985 0.3168 0.1630 1.2433 1.7905 3.2857 
7.0000 63.0000 1.0000 4.0000 1.0000 6.6000 2 -1.0000 1.0000 0.9380 -2.0000 10.0000 14.0000 -6.0000 6.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8180 3.3258 
7.0000 69.0000 1.0000 4.0000 0.0000 4.4000 2 -1.0000 1.0000 0.8010 2.0000 10.0000 14.0000 -6.0000 6.0000 -2.0000 0.3056 0.1637 0.2731 0.2306 0.2745 1.2474 1.9420 3.4401 
7.0000 42.0000 1.0000 0.0000 0.0000 6.6000 2 -1.0000 1.0000 1.7600 -6.0000 2.0000 10.0000 -2.0000 6.0000 -10.0000 0.2965 0.2275 0.1798 0.3280 0.2252 1.2569 1.8373 3.3494 
7.0000 16.0000 1.0000 -2.0000 1.0000 -4.4000 8 1.0000 1.0000 1.1020 -8.0000 0.0000 8.0000 -4.0000 4.0000 -12.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9410 3.4427 
7.0000 35.0000 1.0000 0.0000 1.0000 6.6000 2 -1.0000 1.0000 0.7000 6.0000 -2.0000 -6.0000 2.0000 -10.0000 10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9753 3.4760 
7.0000 54.0000 1.0000 2.0000 0.0000 2.2000 2 -1.0000 1.0000 0.7840 12.0000 4.0000 -4.0000 8.0000 -8.0000 0.0000 0.1660 0.2995 0.1899 0.3712 0.2251 1.2517 1.8764 3.3776 
7.0000 53.0000 1.0000 2.0000 0.0000 0.0000 2 -1.0000 0.0000 1.2210 0.0000 8.0000 12.0000 -8.0000 4.0000 -4.0000 0.2164 0.1616 0.3077 0.1776 0.3877 1.2511 1.7510 3.2435 
7.0000 38.0000 1.0000 0.0000 0.0000 -2.2000 2 -1.0000 0.0000 1.6410 10.0000 2.0000 -6.0000 6.0000 -10.0000 -2.0000 0.2171 0.3894 0.2789 0.2202 0.1509 1.2564 1.9644 3.4656 
7.0000 47.0000 1.0000 2.0000 1.0000 2.2000 2 -1.0000 1.0000 0.8900 12.0000 0.0000 -8.0000 4.0000 -4.0000 8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7626 3.2593 
7.0000 8.0000 1.0000 -4.0000 0.0000 -6.6000 2 -1.0000 0.0000 1.1930 -10.0000 -2.0000 2.0000 -6.0000 6.0000 -14.0000 0.1698 0.3069 0.3667 0.2504 0.1518 1.2457 1.9742 3.4715 
7.0000 59.0000 1.0000 4.0000 1.0000 -2.2000 8 1.0000 1.0000 1.2170 -2.0000 6.0000 10.0000 2.0000 14.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8011 3.3093 
7.0000 68.0000 1.0000 4.0000 0.0000 2.2000 2 -1.0000 1.0000 1.2240 -2.0000 6.0000 14.0000 2.0000 10.0000 -6.0000 0.3693 0.1570 0.2233 0.1710 0.3384 1.2590 1.8694 3.3850 
7.0000 64.0000 1.0000 4.0000 0.0000 -6.6000 8 1.0000 1.0000 0.8810 10.0000 -2.0000 -6.0000 14.0000 2.0000 6.0000 0.2502 0.1865 0.2598 0.3601 0.1984 1.2551 1.8067 3.3143 
7.0000 44.0000 1.0000 2.0000 1.0000 -4.4000 8 1.0000 1.0000 1.0020 -4.0000 8.0000 12.0000 -8.0000 4.0000 0.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9201 3.4261 
7.0000 3.0000 1.0000 -4.0000 1.0000 -2.2000 8 1.0000 1.0000 0.8710 2.0000 -10.0000 -14.0000 6.0000 -6.0000 -2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9163 3.4092 
7.0000 25.0000 1.0000 -2.0000 0.0000 0.0000 8 1.0000 0.0000 0.9650 0.0000 -8.0000 -12.0000 8.0000 -4.0000 4.0000 0.2754 0.2240 0.1617 0.3185 0.2698 1.2495 1.8273 3.3253 
7.0000 15.0000 1.0000 -2.0000 1.0000 -6.6000 8 1.0000 1.0000 2.0650 0.0000 -8.0000 -12.0000 8.0000 -4.0000 4.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7970 3.2924 
7.0000 31.0000 1.0000 0.0000 1.0000 -2.2000 8 1.0000 1.0000 1.5320 2.0000 -6.0000 -10.0000 10.0000 -2.0000 6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8762 3.3760 
7.0000 40.0000 1.0000 0.0000 0.0000 2.2000 2 -1.0000 1.0000 1.2510 6.0000 -6.0000 -10.0000 10.0000 -2.0000 2.0000 0.2776 0.3204 0.2070 0.2943 0.1502 1.2494 1.7594 3.2586 
