subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
1.0000 1.0000 1.0000 -2.5454 0.0000 -1.8755 8 1.0000 1.0000 4.2370 -8.5454 3.4546 7.4546 -12.5454 -0.5454 -4.5454 0.1573 0.3261 0.1720 0.3257 0.2752 1.2562 1.8101 3.3153 
1.0000 2.0000 1.0000 1.1708 1.0000 2.7558 2 -1.0000 1.0000 4.6470 11.1708 3.1708 -8.8292 7.1708 -4.8292 -0.8292 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7841 3.2758 
1.0000 3.0000 1.0000 0.4906 0.0000 1.4399 2 -1.0000 1.0000 2.4310 -1.5094 6.4906 10.4906 -9.5094 2.4906 -5.5094 0.2684 0.1524 0.2614 0.1837 0.3941 1.2599 1.8559 3.3525 
1.0000 4.0000 1.0000 -1.9145 0.0000 5.3531 8 1.0000 0.0000 1.2240 -11.9145 -3.9145 8.0855 -7.9145 4.0855 0.0855 0.2670 0.1598 0.2526 0.3524 0.2208 1.2527 1.8628 3.3786 
1.0000 5.0000 1.0000 2.5213 0.0000 2.9617 2 -1.0000 1.0000 2.9930 4.5213 -3.4787 -7.4787 12.5213 0.5213 8.5213 0.1673 0.3128 0.2784 0.2328 0.2610 1.2523 1.8537 3.3615 
1.0000 6.0000 1.0000 -3.5121 0.0000 4.1680 2 -1.0000 1.0000 2.1800 2.4879 -9.5121 -13.5121 6.4879 -5.5121 -1.5121 0.2033 0.2590 0.3822 0.1604 0.2491 1.2540 1.8167 3.3298 
1.0000 7.0000 1.0000 -3.1239 1.0000 -7.3816 8 1.0000 1.0000 1.0900 6.8761 -1.1239 -13.1239 2.8761 -9.1239 -5.1239 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7528 3.2592 
1.0000 8.0000 1.0000 -0.9954 1.0000 4.2154 8 1.0000 0.0000 2.0480 -10.9954 1.0046 5.0046 -2.9954 9.0046 -6.9954 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8983 3.3925 
1.0000 9.0000 1.0000 -0.0117 1.0000 -2.1051 2 -1.0000 0.0000 2.1060 -2.0117 5.9883 9.9883 -10.0117 1.9883 -6.0117 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8024 3.3092 
1.0000 10.0000 1.0000 2.2840 0.0000 -4.3676 8 1.0000 1.0000 4.0050 12.2840 0.2840 -7.7160 4.2840 -3.7160 8.2840 0.3160 0.1551 0.2196 0.1603 0.4000 1.2510 1.9342 3.4268 
