subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
10.0000 28.0000 1.0000 -2.0000 0.0000 7.5000 8 -1.0000 1.0000 0.4560 -8.0000 0.0000 8.0000 -4.0000 4.0000 -12.0000 0.3131 0.2730 0.1564 0.3399 0.1605 1.2428 1.9083 3.4021 
10.0000 56.0000 1.0000 2.0000 0.0000 7.5000 8 -1.0000 1.0000 0.5140 -8.0000 4.0000 12.0000 0.0000 8.0000 -4.0000 0.3633 0.1661 0.2387 0.2854 0.2023 1.2557 1.9986 3.4982 
10.0000 50.0000 1.0000 2.0000 0.0000 -7.5000 2 1.0000 1.0000 1.6460 12.0000 4.0000 -4.0000 8.0000 -8.0000 0.0000 0.2220 0.2910 0.2112 0.3543 0.1675 1.2460 1.9762 3.4718 
10.0000 63.0000 1.0000 4.0000 1.0000 7.5000 8 -1.0000 1.0000 0.5590 6.0000 -2.0000 -6.0000 14.0000 2.0000 10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9745 3.4759 
10.0000 52.0000 1.0000 2.0000 0.0000 -2.5000 2 1.0000 1.0000 2.0130 -8.0000 4.0000 8.0000 0.0000 12.0000 -4.0000 0.2667 0.1666 0.2335 0.3420 0.2461 1.2550 1.9116 3.4143 
10.0000 58.0000 1.0000 4.0000 1.0000 -5.0000 8 -1.0000 0.0000 1.7540 10.0000 -2.0000 -6.0000 14.0000 2.0000 6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9034 3.4093 
10.0000 4.0000 1.0000 -4.0000 1.0000 0.0000 2 1.0000 0.0000 1.0490 -2.0000 -10.0000 -14.0000 6.0000 -6.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9368 3.4426 
10.0000 44.0000 1.0000 2.0000 1.0000 -5.0000 2 1.0000 1.0000 0.6930 -4.0000 8.0000 12.0000 -8.0000 4.0000 0.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8867 3.3927 
10.0000 27.0000 1.0000 -2.0000 0.0000 5.0000 8 -1.0000 1.0000 0.8840 -12.0000 0.0000 4.0000 -4.0000 8.0000 -8.0000 0.1676 0.3061 0.1803 0.2614 0.3272 1.2426 1.7915 3.2851 
10.0000 16.0000 1.0000 -2.0000 1.0000 -5.0000 2 1.0000 1.0000 1.2430 4.0000 -4.0000 -8.0000 0.0000 -12.0000 8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8267 3.3258 
10.0000 40.0000 1.0000 0.0000 0.0000 2.5000 8 -1.0000 1.0000 1.4370 -10.0000 -2.0000 6.0000 -6.0000 10.0000 2.0000 0.1696 0.2051 0.2910 0.3708 0.2195 1.2561 1.7752 3.2820 
10.0000 69.0000 1.0000 4.0000 0.0000 5.0000 8 -1.0000 1.0000 1.2730 14.0000 2.0000 -2.0000 6.0000 -6.0000 10.0000 0.1912 0.3577 0.1525 0.2429 0.3073 1.2515 1.8737 3.3773 
10.0000 65.0000 1.0000 4.0000 0.0000 -5.0000 8 -1.0000 0.0000 2.8090 -6.0000 2.0000 10.0000 -2.0000 14.0000 6.0000 0.2888 0.1734 0.2528 0.3168 0.2095 1.2413 1.8013 3.2839 
10.0000 5.0000 1.0000 -4.0000 1.0000 2.5000 2 1.0000 0.0000 1.8800 -14.0000 -2.0000 6.0000 -6.0000 2.0000 -10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8484 3.3592 
10.0000 32.0000 1.0000 0.0000 1.0000 0.0000 8 -1.0000 0.0000 1.3900 -10.0000 2.0000 6.0000 -2.0000 10.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9667 3.4761 
10.0000 62.0000 1.0000 4.0000 1.0000 5.0000 8 -1.0000 1.0000 0.6340 10.0000 -2.0000 -6.0000 14.0000 2.0000 6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7744 3.2757 
10.0000 68.0000 1.0000 4.0000 0.0000 2.5000 8 -1.0000 1.0000 2.6910 -2.0000 6.0000 10.0000 2.0000 14.0000 -6.0000 0.3433 0.1647 0.2293 0.1598 0.3508 1.2480 1.7800 3.2738 
10.0000 35.0000 1.0000 0.0000 1.0000 7.5000 8 -1.0000 1.0000 1.7780 -10.0000 -2.0000 6.0000 -6.0000 10.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8143 3.3091 
10.0000 37.0000 1.0000 0.0000 0.0000 -5.0000 2 1.0000 1.0000 0.6770 10.0000 2.0000 -10.0000 6.0000 -6.0000 -2.0000 0.1543 0.3552 0.1630 0.3439 0.2291 1.2455 1.9194 3.4216 
10.0000 70.0000 1.0000 4.0000 0.0000 7.5000 8 -1.0000 1.0000 0.6540 14.0000 2.0000 -2.0000 6.0000 -6.0000 10.0000 0.2257 0.3118 0.1734 0.3607 0.1848 1.2563 1.9864 3.4990 
10.0000 1.0000 1.0000 -4.0000 1.0000 -7.5000 2 1.0000 1.0000 0.5820 -10.0000 -2.0000 6.0000 -6.0000 2.0000 -14.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7729 3.2760 
10.0000 47.0000 1.0000 2.0000 1.0000 2.5000 8 -1.0000 1.0000 0.4910 -4.0000 8.0000 12.0000 -8.0000 4.0000 0.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7568 3.2593 
10.0000 33.0000 1.0000 0.0000 1.0000 2.5000 2 1.0000 0.0000 1.0470 -6.0000 2.0000 10.0000 -2.0000 6.0000 -10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8994 3.3926 
10.0000 36.0000 1.0000 0.0000 0.0000 -7.5000 2 1.0000 1.0000 0.9480 6.0000 -2.0000 -10.0000 2.0000 -6.0000 10.0000 0.2375 0.2755 0.2440 0.3018 0.1854 1.2441 1.9000 3.3866 
10.0000 64.0000 1.0000 4.0000 0.0000 -7.5000 2 1.0000 1.0000 0.7990 10.0000 -2.0000 -6.0000 14.0000 2.0000 6.0000 0.1691 0.2226 0.3040 0.1809 0.3653 1.2419 1.8623 3.3510 
10.0000 29.0000 1.0000 0.0000 1.0000 -7.5000 2 1.0000 1.0000 0.5900 -6.0000 2.0000 10.0000 -2.0000 6.0000 -10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8228 3.3258 
10.0000 45.0000 1.0000 2.0000 1.0000 -2.5000 8 -1.0000 0.0000 0.5230 8.0000 0.0000 -4.0000 4.0000 -8.0000 12.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7651 3.2758 
10.0000 41.0000 1.0000 0.0000 0.0000 5.0000 8 -1.0000 1.0000 0.5510 -2.0000 6.0000 10.0000 -10.0000 2.0000 -6.0000 0.2984 0.1956 0.3551 0.2208 0.1767 1.2466 1.8126 3.3224 
10.0000 57.0000 1.0000 4.0000 1.0000 -7.5000 2 1.0000 1.0000 3.4190 6.0000 -2.0000 -6.0000 14.0000 2.0000 10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9579 3.4592 
10.0000 46.0000 1.0000 2.0000 1.0000 0.0000 8 -1.0000 0.0000 0.9890 -4.0000 4.0000 12.0000 0.0000 8.0000 -8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9885 3.4926 
10.0000 49.0000 1.0000 2.0000 1.0000 7.5000 8 -1.0000 1.0000 0.4780 -4.0000 4.0000 12.0000 0.0000 8.0000 -8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8521 3.3592 
10.0000 54.0000 1.0000 2.0000 0.0000 2.5000 8 -1.0000 1.0000 0.6240 -4.0000 4.0000 12.0000 0.0000 8.0000 -8.0000 0.2980 0.2505 0.2761 0.2242 0.1925 1.2413 1.8595 3.3507 
10.0000 53.0000 1.0000 2.0000 0.0000 0.0000 2 1.0000 0.0000 2.9480 8.0000 0.0000 -4.0000 4.0000 -8.0000 12.0000 0.2890 0.2483 0.2800 0.1541 0.2737 1.2452 1.9846 3.4712 
10.0000 21.0000 1.0000 -2.0000 1.0000 7.5000 8 -1.0000 1.0000 0.4870 -12.0000 0.0000 8.0000 -4.0000 4.0000 -8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8191 3.3091 
10.0000 51.0000 1.0000 2.0000 0.0000 -5.0000 2 1.0000 1.0000 1.0140 -8.0000 4.0000 8.0000 0.0000 12.0000 -4.0000 0.3216 0.2424 0.3073 0.1749 0.2048 1.2511 1.7905 3.2936 
10.0000 9.0000 1.0000 -4.0000 0.0000 -5.0000 2 1.0000 1.0000 1.1600 -10.0000 2.0000 6.0000 -14.0000 -2.0000 -6.0000 0.3624 0.2395 0.1853 0.2594 0.1982 1.2448 1.8679 3.3539 
