subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
10.0000 1.0000 1.0000 0.6081 1.0000 -1.4129 2 1.0000 1.0000 1.6350 -5.3919 2.6081 10.6081 -1.3919 6.6081 -9.3919 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9335 3.4258 
10.0000 2.0000 1.0000 0.7976 1.0000 -1.2630 2 1.0000 1.0000 1.2450 -5.2024 6.7976 10.7976 -9.2024 2.7976 -1.2024 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8670 3.3591 
10.0000 3.0000 1.0000 0.3105 1.0000 4.4197 8 -1.0000 1.0000 2.1760 -9.6895 2.3105 10.3105 -1.6895 6.3105 -5.6895 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8098 3.3092 
10.0000 4.0000 1.0000 -3.4917 0.0000 2.8412 8 -1.0000 1.0000 1.0730 -13.4917 -5.4917 6.5083 -9.4917 2.5083 -1.4917 0.2852 0.2184 0.1888 0.3706 0.1970 1.2600 1.8590 3.3691 
10.0000 5.0000 1.0000 -3.9524 0.0000 -5.5241 2 1.0000 1.0000 1.6230 -5.9524 2.0476 6.0476 -13.9524 -1.9524 -9.9524 0.2686 0.1521 0.2562 0.3295 0.2526 1.2591 1.9011 3.4183 
10.0000 6.0000 1.0000 -3.6577 1.0000 4.4358 8 -1.0000 1.0000 1.3750 -9.6577 2.3423 6.3423 -13.6577 -1.6577 -5.6577 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8452 3.3426 
10.0000 7.0000 1.0000 -0.5186 0.0000 -2.4655 2 1.0000 1.0000 1.3300 -10.5186 1.4814 9.4814 -2.5186 5.4814 -6.5186 0.1848 0.2669 0.1605 0.2296 0.3988 1.2407 1.9046 3.3999 
10.0000 8.0000 1.0000 2.5880 1.0000 -4.6567 8 -1.0000 0.0000 0.8680 8.5880 0.5880 -3.4120 4.5880 -7.4120 12.5880 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9554 3.4592 
10.0000 9.0000 1.0000 0.9230 1.0000 -4.6267 2 1.0000 1.0000 0.9580 6.9230 -1.0770 -5.0770 2.9230 -9.0770 10.9230 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9719 3.4761 
10.0000 10.0000 1.0000 -3.6966 0.0000 -0.5833 2 1.0000 1.0000 0.9600 6.3034 -1.6966 -9.6966 2.3034 -13.6966 -5.6966 0.2407 0.3167 0.2371 0.1809 0.2666 1.2420 1.7600 3.2511 
10.0000 11.0000 1.0000 -3.6638 1.0000 5.8512 8 -1.0000 1.0000 1.5820 -13.6638 -5.6638 6.3362 -9.6638 2.3362 -1.6638 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8236 3.3258 
10.0000 12.0000 1.0000 -3.9900 1.0000 3.9813 2 1.0000 0.0000 1.7720 -9.9900 2.0100 6.0100 -13.9900 -1.9900 -5.9900 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9791 3.4759 
10.0000 13.0000 1.0000 2.8116 1.0000 2.6833 8 -1.0000 1.0000 1.1730 12.8116 0.8116 -7.1884 4.8116 -3.1884 8.8116 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9425 3.4426 
10.0000 14.0000 1.0000 3.7649 0.0000 1.9839 8 -1.0000 1.0000 0.6830 13.7649 1.7649 -6.2351 5.7649 -2.2351 9.7649 0.2876 0.2357 0.1551 0.3111 0.2537 1.2433 1.9512 3.4525 
10.0000 15.0000 1.0000 1.4499 0.0000 -2.5044 2 1.0000 1.0000 1.1870 3.4499 -4.5501 -8.5501 11.4499 -0.5501 7.4499 0.1531 0.3608 0.1759 0.2302 0.3325 1.2524 1.8415 3.3448 
10.0000 16.0000 1.0000 -0.2596 1.0000 -0.7588 8 -1.0000 0.0000 0.8570 9.7404 -2.2596 -10.2596 1.7404 -6.2596 5.7404 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9813 3.4758 
10.0000 17.0000 1.0000 -1.6351 1.0000 -3.3289 2 1.0000 1.0000 0.5510 8.3649 0.3649 -7.6351 4.3649 -11.6351 -3.6351 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9013 3.4093 
10.0000 18.0000 1.0000 0.9258 0.0000 4.5311 8 -1.0000 1.0000 0.7800 -5.0742 6.9258 10.9258 -9.0742 2.9258 -1.0742 0.2177 0.3578 0.1643 0.2888 0.2268 1.2555 1.8415 3.3481 
10.0000 19.0000 1.0000 0.8069 1.0000 -4.4687 2 1.0000 1.0000 1.3620 10.8069 -1.1931 -9.1931 2.8069 -5.1931 6.8069 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8285 3.3258 
10.0000 20.0000 1.0000 -2.5556 1.0000 -1.2433 2 1.0000 1.0000 0.8230 7.4444 -0.5556 -8.5556 3.4444 -12.5556 -4.5556 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8255 3.3259 
10.0000 21.0000 1.0000 -0.8753 1.0000 3.1911 8 -1.0000 1.0000 0.7400 -6.8753 5.1247 9.1247 -10.8753 1.1247 -2.8753 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9809 3.4760 
10.0000 22.0000 1.0000 1.6781 1.0000 3.3485 2 1.0000 0.0000 1.7190 -0.3219 7.6781 11.6781 -8.3219 3.6781 -4.3219 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9593 3.4592 
10.0000 23.0000 1.0000 -1.2581 1.0000 -0.8645 8 -1.0000 0.0000 0.7320 4.7419 -3.2581 -7.2581 0.7419 -11.2581 8.7419 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9054 3.4092 
10.0000 24.0000 1.0000 0.1156 0.0000 3.6114 8 -1.0000 1.0000 0.9380 -5.8844 2.1156 6.1156 -1.8844 10.1156 -9.8844 0.1751 0.2299 0.3596 0.1901 0.2921 1.2468 1.7882 3.2893 
10.0000 25.0000 1.0000 1.2636 1.0000 -2.7933 2 1.0000 1.0000 1.5250 11.2636 -0.7364 -8.7364 3.2636 -4.7364 7.2636 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9041 3.4092 
10.0000 26.0000 1.0000 -2.2207 0.0000 5.5870 8 -1.0000 1.0000 0.7830 3.7793 -4.2207 -12.2207 -0.2207 -8.2207 7.7793 0.1791 0.2552 0.1610 0.2694 0.3878 1.2526 1.9729 3.4786 
10.0000 27.0000 1.0000 -3.8804 1.0000 -1.4301 2 1.0000 1.0000 0.7730 2.1196 -5.8804 -9.8804 -1.8804 -13.8804 6.1196 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7741 3.2758 
10.0000 28.0000 1.0000 -1.7418 0.0000 -1.4852 2 1.0000 1.0000 0.8580 -7.7418 4.2582 8.2582 -11.7418 0.2582 -3.7418 0.1857 0.3456 0.2459 0.1993 0.2781 1.2546 1.8195 3.3305 
10.0000 29.0000 1.0000 -2.0751 0.0000 2.7590 2 1.0000 0.0000 2.2920 7.9249 -0.0751 -8.0751 3.9249 -12.0751 -4.0751 0.3350 0.1743 0.3455 0.2177 0.1822 1.2546 1.9873 3.4971 
10.0000 30.0000 1.0000 -2.0871 1.0000 -1.8795 2 1.0000 1.0000 1.2160 -12.0871 -0.0871 3.9129 -4.0871 7.9129 -8.0871 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9281 3.4261 
10.0000 31.0000 1.0000 -2.8442 0.0000 -2.4370 2 1.0000 1.0000 0.6590 7.1558 -0.8442 -12.8442 3.1558 -8.8442 -4.8442 0.2447 0.3471 0.2846 0.1536 0.2296 1.2594 1.8183 3.3186 
10.0000 32.0000 1.0000 -1.0840 0.0000 -1.4600 2 1.0000 1.0000 2.3790 8.9160 0.9160 -7.0840 4.9160 -11.0840 -3.0840 0.2917 0.2199 0.2963 0.2473 0.1933 1.2485 1.7561 3.2410 
10.0000 33.0000 1.0000 2.0187 1.0000 -5.3849 2 1.0000 1.0000 2.2070 12.0187 0.0187 -7.9813 4.0187 -3.9813 8.0187 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7795 3.2926 
10.0000 34.0000 1.0000 0.9510 1.0000 2.5653 8 -1.0000 1.0000 1.1250 6.9510 -1.0490 -9.0490 2.9510 -5.0490 10.9510 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9697 3.4759 
10.0000 35.0000 1.0000 -3.2720 0.0000 4.0202 8 -1.0000 1.0000 0.7900 -9.2720 -1.2720 6.7280 -5.2720 2.7280 -13.2720 0.2315 0.3214 0.1689 0.2218 0.2982 1.2417 1.7933 3.2843 
10.0000 36.0000 1.0000 -2.5155 0.0000 -6.9575 2 1.0000 1.0000 0.7460 -12.5155 -4.5155 3.4845 -8.5155 7.4845 -0.5155 0.1794 0.3677 0.1665 0.2267 0.3123 1.2525 1.8151 3.3283 
10.0000 37.0000 1.0000 2.3148 1.0000 -2.3458 2 1.0000 1.0000 4.0850 -7.6852 4.3148 12.3148 0.3148 8.3148 -3.6852 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9719 3.4759 
10.0000 38.0000 1.0000 -0.8800 0.0000 0.6324 2 1.0000 0.0000 1.7010 -6.8800 1.1200 9.1200 -2.8800 5.1200 -10.8800 0.1608 0.2245 0.2684 0.2359 0.3572 1.2468 1.7857 3.2893 
10.0000 39.0000 1.0000 -2.1235 0.0000 -7.0319 2 1.0000 1.0000 1.5910 -8.1235 3.8765 7.8765 -12.1235 -0.1235 -4.1235 0.2227 0.1775 0.3711 0.2955 0.1791 1.2459 1.8092 3.3052 
10.0000 40.0000 1.0000 1.3478 1.0000 -6.7720 2 1.0000 1.0000 0.8590 11.3478 3.3478 -8.6522 7.3478 -4.6522 -0.6522 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8434 3.3425 
10.0000 41.0000 1.0000 0.8706 1.0000 -3.9384 2 1.0000 1.0000 4.7320 10.8706 -1.1294 -5.1294 2.8706 -9.1294 6.8706 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8921 3.3925 
10.0000 42.0000 1.0000 -3.6964 1.0000 5.8205 8 -1.0000 1.0000 0.6980 -13.6964 -1.6964 2.3036 -5.6964 6.3036 -9.6964 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9864 3.4927 
10.0000 43.0000 1.0000 1.0727 1.0000 4.2445 8 -1.0000 1.0000 0.7150 11.0727 3.0727 -8.9273 7.0727 -4.9273 -0.9273 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8594 3.3593 
10.0000 44.0000 1.0000 0.5752 1.0000 -6.4747 8 -1.0000 0.0000 2.9040 2.5752 -5.4248 -9.4248 10.5752 -1.4248 6.5752 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8612 3.3592 
10.0000 45.0000 1.0000 -3.7551 0.0000 -3.6839 2 1.0000 1.0000 0.7070 2.2449 -9.7551 -13.7551 6.2449 -5.7551 -1.7551 0.1913 0.3069 0.1850 0.3656 0.1994 1.2482 1.9902 3.4910 
10.0000 46.0000 1.0000 2.7825 0.0000 -2.0182 2 1.0000 1.0000 4.3020 -7.2175 4.7825 12.7825 0.7825 8.7825 -3.2175 0.2018 0.1767 0.3982 0.2602 0.2135 1.2505 1.9324 3.4263 
10.0000 47.0000 1.0000 1.6909 0.0000 -3.2642 2 1.0000 1.0000 1.6400 -4.3091 3.6909 7.6909 -0.3091 11.6909 -8.3091 0.2196 0.1867 0.2792 0.3103 0.2458 1.2415 1.8014 3.2841 
10.0000 48.0000 1.0000 -1.6638 0.0000 6.9948 8 -1.0000 1.0000 0.7750 8.3362 -3.6638 -7.6638 0.3362 -11.6638 4.3362 0.2148 0.1699 0.2700 0.3656 0.2231 1.2435 1.7510 3.2360 
10.0000 49.0000 1.0000 -0.2652 1.0000 2.2374 8 -1.0000 1.0000 1.9550 9.7348 1.7348 -6.2652 5.7348 -10.2652 -2.2652 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8284 3.3259 
10.0000 50.0000 1.0000 -1.4791 1.0000 7.8255 8 -1.0000 1.0000 0.8290 -11.4791 0.5209 4.5209 -3.4791 8.5209 -7.4791 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7620 3.2591 
