subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
14.0000 44.0000 1.0000 2.0000 1.0000 -5.0000 2 1.0000 1.0000 2.4020 -4.0000 4.0000 12.0000 0.0000 8.0000 -8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9634 3.4594 
14.0000 23.0000 1.0000 -2.0000 0.0000 -5.0000 2 1.0000 1.0000 0.7610 -12.0000 0.0000 8.0000 -4.0000 4.0000 -8.0000 0.1596 0.2976 0.3896 0.1797 0.2157 1.2423 1.8720 3.3516 
14.0000 61.0000 1.0000 4.0000 1.0000 2.5000 8 -1.0000 1.0000 0.8160 14.0000 2.0000 -6.0000 6.0000 -2.0000 10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9037 3.4092 
14.0000 26.0000 1.0000 -2.0000 0.0000 2.5000 8 -1.0000 1.0000 1.3110 4.0000 -4.0000 -12.0000 0.0000 -8.0000 8.0000 0.1829 0.3144 0.1969 0.3908 0.1709 1.2559 1.8097 3.3152 
14.0000 40.0000 1.0000 0.0000 0.0000 2.5000 8 -1.0000 1.0000 1.2130 -10.0000 2.0000 6.0000 -2.0000 10.0000 -6.0000 0.1781 0.3469 0.2179 0.2796 0.2215 1.2440 1.7840 3.2865 
14.0000 10.0000 1.0000 -4.0000 0.0000 -2.5000 2 1.0000 1.0000 0.7230 -10.0000 -2.0000 6.0000 -6.0000 2.0000 -14.0000 0.1962 0.2813 0.2357 0.2079 0.3324 1.2536 1.8432 3.3462 
14.0000 53.0000 1.0000 2.0000 0.0000 0.0000 2 1.0000 0.0000 0.7550 0.0000 8.0000 12.0000 -8.0000 4.0000 -4.0000 0.1747 0.2355 0.2649 0.3238 0.2470 1.2459 1.9671 3.4718 
14.0000 45.0000 1.0000 2.0000 1.0000 -2.5000 8 -1.0000 0.0000 1.6500 -4.0000 4.0000 8.0000 0.0000 12.0000 -8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9433 3.4426 
14.0000 5.0000 1.0000 -4.0000 1.0000 2.5000 8 -1.0000 1.0000 1.2650 2.0000 -6.0000 -14.0000 -2.0000 -10.0000 6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9812 3.4760 
14.0000 27.0000 1.0000 -2.0000 0.0000 5.0000 8 -1.0000 1.0000 0.7930 -4.0000 4.0000 8.0000 -12.0000 0.0000 -8.0000 0.2220 0.2910 0.2112 0.3543 0.1675 1.2460 1.9762 3.4719 
14.0000 30.0000 1.0000 0.0000 1.0000 -5.0000 2 1.0000 1.0000 1.5340 2.0000 -6.0000 -10.0000 10.0000 -2.0000 6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9745 3.4761 
14.0000 18.0000 1.0000 -2.0000 1.0000 0.0000 8 -1.0000 0.0000 1.5130 -12.0000 0.0000 4.0000 -4.0000 8.0000 -8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7881 3.2758 
14.0000 6.0000 1.0000 -4.0000 1.0000 5.0000 8 -1.0000 1.0000 1.5750 -14.0000 -2.0000 6.0000 -6.0000 2.0000 -10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8447 3.3425 
