subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
2.0000 1.0000 4.0000 0.0000 -11.0000 2 1.0000 1.0000 2.1430 0.0000 -6.0000 2.0000 10.0000 -2.0000 14.0000 6.0000 0.2162 0.2414 0.3918 0.1508 0.2553 1.2556 1.9413 3.4481 
2.0000 2.0000 4.0000 0.0000 -11.0000 2 1.0000 1.0000 2.3480 0.0000 -2.0000 6.0000 10.0000 2.0000 14.0000 -6.0000 0.2809 0.3061 0.2762 0.2286 0.1577 1.2496 1.7616 3.2755 
2.0000 3.0000 4.0000 0.0000 -9.0000 2 1.0000 1.0000 4.7420 0.0000 6.0000 -2.0000 -6.0000 14.0000 2.0000 10.0000 0.1746 0.3031 0.2586 0.3195 0.1977 1.2535 1.9766 3.4793 
2.0000 4.0000 -2.0000 1.0000 7.0000 8 -1.0000 1.0000 1.5760 0.0000 8.0000 0.0000 -8.0000 4.0000 -12.0000 -4.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9979 3.4927 
2.0000 5.0000 0.0000 1.0000 7.0000 8 -1.0000 1.0000 1.4860 0.0000 -2.0000 6.0000 10.0000 -10.0000 2.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7530 3.2592 
2.0000 6.0000 4.0000 0.0000 -7.0000 2 1.0000 1.0000 0.9030 0.0000 14.0000 2.0000 -6.0000 6.0000 -2.0000 10.0000 0.3718 0.1839 0.2211 0.1546 0.3111 1.2425 1.9241 3.4185 
2.0000 7.0000 -4.0000 1.0000 5.0000 8 -1.0000 1.0000 4.7790 0.0000 -10.0000 2.0000 6.0000 -14.0000 -2.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8687 3.3593 
2.0000 8.0000 4.0000 0.0000 -5.0000 8 -1.0000 0.0000 1.3640 1.0000 -2.0000 6.0000 14.0000 2.0000 10.0000 -6.0000 0.2529 0.3146 0.2311 0.1878 0.2608 1.2472 1.9941 3.4898 
2.0000 9.0000 -2.0000 1.0000 -5.9900 2 1.0000 1.0000 1.8970 1.0000 -12.0000 0.0000 8.0000 -4.0000 4.0000 -8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9726 3.4592 
2.0000 10.0000 -4.0000 0.0000 5.9900 8 -1.0000 1.0000 1.0360 2.0000 -14.0000 -2.0000 6.0000 -6.0000 2.0000 -10.0000 0.2852 0.2236 0.1500 0.3888 0.1967 1.2443 1.9242 3.4202 
