subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
5.0000 1.0000 1.0000 3.3647 0.0000 0.6657 8 1.0000 0.0000 1.3330 13.3647 5.3647 -2.6353 9.3647 -6.6353 1.3647 0.3010 0.3816 0.1792 0.2352 0.1592 1.2562 1.8846 3.3822 
5.0000 2.0000 1.0000 -3.2147 1.0000 0.6812 8 1.0000 0.0000 1.7430 -1.2147 -9.2147 -13.2147 6.7853 -5.2147 2.7853 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7570 3.2425 
5.0000 3.0000 1.0000 -3.0466 1.0000 -5.6206 8 1.0000 1.0000 1.5310 6.9534 -5.0466 -13.0466 -1.0466 -9.0466 2.9534 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8401 3.3426 
5.0000 4.0000 1.0000 -0.2544 1.0000 7.4766 2 -1.0000 1.0000 1.2090 -10.2544 1.7456 9.7456 -2.2544 5.7456 -6.2544 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8156 3.3259 
5.0000 5.0000 1.0000 -0.5826 1.0000 -2.4122 8 1.0000 1.0000 1.2460 -6.5826 5.4174 9.4174 -10.5826 1.4174 -2.5826 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9914 3.4927 
5.0000 6.0000 1.0000 2.0744 1.0000 -1.4934 2 -1.0000 0.0000 1.8460 -7.9256 4.0744 8.0744 0.0744 12.0744 -3.9256 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9054 3.4093 
5.0000 7.0000 1.0000 3.8568 1.0000 2.2123 2 -1.0000 1.0000 1.5090 -2.1432 5.8568 13.8568 1.8568 9.8568 -6.1432 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8744 3.3758 
5.0000 8.0000 1.0000 2.8391 0.0000 2.0471 2 -1.0000 1.0000 1.1860 12.8391 4.8391 -3.1609 8.8391 -7.1609 0.8391 0.3675 0.1500 0.3200 0.2530 0.1567 1.2471 1.8563 3.3563 
5.0000 9.0000 1.0000 0.8903 0.0000 -0.5431 2 -1.0000 0.0000 1.2040 -9.1097 -1.1097 6.8903 -5.1097 10.8903 2.8903 0.1927 0.3364 0.1745 0.3726 0.1705 1.2467 1.9454 3.4393 
5.0000 10.0000 1.0000 -1.1642 1.0000 -0.9509 8 1.0000 1.0000 1.0810 -3.1642 4.8358 8.8358 -11.1642 0.8358 -7.1642 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7857 3.2758 
5.0000 11.0000 1.0000 -1.8146 1.0000 1.2252 2 -1.0000 1.0000 1.1520 -11.8146 -3.8146 8.1854 -7.8146 4.1854 0.1854 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8430 3.3425 
5.0000 12.0000 1.0000 2.0042 1.0000 -4.2283 2 -1.0000 0.0000 0.8380 12.0042 0.0042 -3.9958 4.0042 -7.9958 8.0042 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9013 3.3925 
5.0000 13.0000 1.0000 -1.2215 0.0000 4.7412 2 -1.0000 1.0000 1.6810 -3.2215 4.7785 8.7785 -11.2215 0.7785 -7.2215 0.3649 0.2080 0.1567 0.2306 0.2888 1.2490 1.9561 3.4583 
5.0000 14.0000 1.0000 -0.0650 1.0000 1.0488 2 -1.0000 1.0000 1.1070 -6.0650 5.9350 9.9350 -10.0650 1.9350 -2.0650 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7842 3.2925 
5.0000 15.0000 1.0000 -1.8440 0.0000 7.5682 2 -1.0000 1.0000 1.2630 -11.8440 0.1560 4.1560 -3.8440 8.1560 -7.8440 0.2013 0.3587 0.1604 0.3035 0.2183 1.2422 1.9367 3.4347 
