subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
9.0000 1.0000 1.0000 2.8226 0.0000 -4.7120 8 1.0000 1.0000 1.9280 -7.1774 4.8226 8.8226 0.8226 12.8226 -3.1774 0.2805 0.1630 0.2602 0.3228 0.2153 1.2419 1.9740 3.4511 
9.0000 2.0000 1.0000 2.7976 0.0000 2.9281 2 -1.0000 1.0000 1.7340 12.7976 4.7976 -3.2024 8.7976 -7.2024 0.7976 0.1655 0.2232 0.2881 0.3350 0.2296 1.2414 1.8735 3.3674 
9.0000 3.0000 1.0000 -2.9050 1.0000 -2.5063 8 1.0000 1.0000 2.5900 -12.9050 -4.9050 3.0950 -8.9050 7.0950 -0.9050 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7803 3.2925 
9.0000 4.0000 1.0000 -3.3307 1.0000 1.2880 8 1.0000 0.0000 2.5010 2.6693 -5.3307 -9.3307 -1.3307 -13.3307 6.6693 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9236 3.4260 
9.0000 5.0000 1.0000 -3.5651 1.0000 1.7939 8 1.0000 0.0000 2.3020 6.4349 -5.5651 -9.5651 -1.5651 -13.5651 2.4349 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7565 3.2591 
9.0000 6.0000 1.0000 3.6111 1.0000 -7.4678 2 -1.0000 0.0000 2.9430 -2.3889 5.6111 13.6111 1.6111 9.6111 -6.3889 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7837 3.2759 
9.0000 7.0000 1.0000 1.6331 1.0000 -4.2131 8 1.0000 1.0000 1.6800 -0.3669 7.6331 11.6331 -8.3669 3.6331 -4.3669 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7983 3.2926 
9.0000 8.0000 1.0000 -2.7438 1.0000 1.2226 8 1.0000 0.0000 1.6070 7.2562 -4.7438 -12.7438 -0.7438 -8.7438 3.2562 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8183 3.3091 
9.0000 9.0000 1.0000 0.6081 1.0000 -1.4129 8 1.0000 1.0000 1.4400 -5.3919 2.6081 10.6081 -1.3919 6.6081 -9.3919 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9335 3.4258 
9.0000 10.0000 1.0000 0.7976 1.0000 -1.2630 8 1.0000 1.0000 1.2730 -5.2024 6.7976 10.7976 -9.2024 2.7976 -1.2024 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8670 3.3592 
